ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
452,Manuel Perez,fr FRA,MF,Lens,29,1991,4,1,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/88970207/Manuel-Perez,https://fbref.com/req/202302030/images/headshots/88970207_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Manuel_Perez.jpg
453,Romain Perraud,fr FRA,DF,Brest,22,1997,36,35,"3,140",34.9,3,7,10,3,0,0,4,0,0.09,0.2,0.29,0.09,0.29,Matches,https://fbref.com/en/players/6dfd8f05/Romain-Perraud,https://fbref.com/req/202302030/images/headshots/6dfd8f05_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Perraud.jpg
454,Lucas Perrin,fr FRA,DF,Marseille,21,1998,7,3,308,3.4,1,0,1,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,Matches,https://fbref.com/en/players/49070d66/Lucas-Perrin,https://fbref.com/req/202302030/images/headshots/49070d66_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Lucas_Perrin.jpg
455,Rayan Philippe,fr FRA,FW,Dijon,19,2000,4,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a046fc35/Rayan-Philippe,https://fbref.com/req/202302030/images/headshots/a046fc35_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rayan_Philippe.jpg
456,Romain Philippoteaux,fr FRA,MF,Nîmes,32,1988,3,3,214,2.4,1,1,2,1,0,0,0,0,0.42,0.42,0.84,0.42,0.84,Matches,https://fbref.com/en/players/f98b15f0/Romain-Philippoteaux,https://fbref.com/req/202302030/images/headshots/f98b15f0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Philippoteaux.jpg
457,Romain Philippoteaux,fr FRA,"MF,FW",Brest,32,1988,17,8,581,6.5,1,0,1,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15,Matches,https://fbref.com/en/players/f98b15f0/Romain-Philippoteaux,https://fbref.com/req/202302030/images/headshots/f98b15f0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Philippoteaux.jpg
458,Jérémy Pied,fr FRA,DF,Lille,31,1989,6,4,318,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a634b9d2/Jeremy-Pied,https://fbref.com/req/202302030/images/headshots/a634b9d2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jérémy_Pied.jpg
459,Ronaël Pierre-Gabriel,fr FRA,DF,Brest,22,1998,29,28,"2,305",25.6,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/64ba07c0/Ronael-Pierre-Gabriel,https://fbref.com/req/202302030/images/headshots/64ba07c0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ronaël_Pierre-Gabriel.jpg
460,Maxime Poundjé,fr FRA,DF,Bordeaux,27,1992,14,4,491,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b92edde2/Maxime-Poundje,https://fbref.com/req/202302030/images/headshots/b92edde2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Maxime_Poundjé.jpg
461,Sanjin Prcić,ba BIH,MF,Strasbourg,26,1993,14,3,353,3.9,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,Matches,https://fbref.com/en/players/51c30111/Sanjin-Prcic,https://fbref.com/req/202302030/images/headshots/51c30111_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sanjin_Prcić.jpg
462,Nicolas de Préville,fr FRA,"MF,FW",Bordeaux,29,1991,33,15,"1,611",17.9,1,2,3,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,Matches,https://fbref.com/en/players/b0547a87/Nicolas-de-Preville,https://fbref.com/req/202302030/images/headshots/b0547a87_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nicolas_de_Préville.jpg
463,Anthony Racioppi,ch SUI,GK,Dijon,21,1998,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/abc06eb3/Anthony-Racioppi,https://fbref.com/req/202302030/images/headshots/abc06eb3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Anthony_Racioppi.jpg
464,Nemanja Radonjić,rs SRB,"MF,FW",Marseille,24,1996,12,4,396,4.4,2,1,3,2,0,0,2,0,0.45,0.23,0.68,0.45,0.68,Matches,https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,https://fbref.com/req/202302030/images/headshots/0630eb63_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nemanja_Radonjić.jpg
465,Aleksandar Radovanović,rs SRB,DF,Lens,26,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic,https://fbref.com/req/202302030/images/headshots/09507ffa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Aleksandar_Radovanović.jpg
466,Rafinha,br BRA,MF,Paris Saint-Germain,27,1993,23,15,"1,361",15.1,0,4,4,0,0,0,2,0,0.0,0.26,0.26,0.0,0.26,Matches,https://fbref.com/en/players/0c2ac3cb/Rafinha,https://fbref.com/req/202302030/images/headshots/0c2ac3cb_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rafinha.jpg
467,Predrag Rajković,rs SRB,GK,Reims,24,1995,37,37,"3,285",36.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,https://fbref.com/req/202302030/images/headshots/58ad9383_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Predrag_Rajković.jpg
468,Raphinha,br BRA,"FW,MF",Rennes,23,1996,6,5,404,4.5,1,2,3,1,0,0,0,0,0.22,0.45,0.67,0.22,0.67,Matches,https://fbref.com/en/players/3423f250/Raphinha,https://fbref.com/req/202302030/images/headshots/3423f250_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Raphinha.jpg
469,Jeff Reine-Adélaïde,fr FRA,"FW,MF",Lyon,22,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d504b3e1/Jeff-Reine-Adelaide,https://fbref.com/req/202302030/images/headshots/d504b3e1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jeff_Reine-Adélaïde.jpg
470,Jeff Reine-Adélaïde,fr FRA,"MF,FW",Nice,22,1998,14,12,"1,058",11.8,1,2,3,1,0,0,1,0,0.09,0.17,0.26,0.09,0.26,Matches,https://fbref.com/en/players/d504b3e1/Jeff-Reine-Adelaide,https://fbref.com/req/202302030/images/headshots/d504b3e1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jeff_Reine-Adélaïde.jpg
471,Panagiotis Retsos,gr GRE,DF,Saint-Étienne,21,1998,4,4,272,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/4bd00a50/Panagiotis-Retsos,https://fbref.com/req/202302030/images/headshots/4bd00a50_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Panagiotis_Retsos.jpg
472,Baptiste Reynet,fr FRA,GK,Nîmes,29,1990,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/bcf1b2e9/Baptiste-Reynet,https://fbref.com/req/202302030/images/headshots/bcf1b2e9_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Baptiste_Reynet.jpg
473,Sergio Rico,es ESP,GK,Paris Saint-Germain,26,1993,10,8,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5f0241b2/Sergio-Rico,https://fbref.com/req/202302030/images/headshots/5f0241b2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sergio_Rico.jpg
474,Renaud Ripart,fr FRA,"MF,FW",Nîmes,27,1993,38,35,"3,054",33.9,11,0,11,5,6,7,3,0,0.32,0.0,0.32,0.15,0.15,Matches,https://fbref.com/en/players/beae3a73/Renaud-Ripart,https://fbref.com/req/202302030/images/headshots/beae3a73_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Renaud_Ripart.jpg
475,Mihailo Ristić,rs SRB,"DF,MF",Montpellier,24,1995,34,26,"2,236",24.8,0,2,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches,https://fbref.com/en/players/ea0aa7e0/Mihailo-Ristic,https://fbref.com/req/202302030/images/headshots/ea0aa7e0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mihailo_Ristić.jpg
476,Maxence Rivera,fr FRA,MF,Saint-Étienne,18,2002,17,1,239,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/46a7b605/Maxence-Rivera,https://fbref.com/req/202302030/images/headshots/46a7b605_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Maxence_Rivera.jpg
477,Christopher Rocchia,fr FRA,DF,Marseille,22,1998,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/aa21406e/Christopher-Rocchia,https://fbref.com/req/202302030/images/headshots/aa21406e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Christopher_Rocchia.jpg
478,Valentin Rongier,fr FRA,MF,Marseille,25,1994,26,21,"1,887",21.0,1,2,3,1,0,0,8,0,0.05,0.1,0.14,0.05,0.14,Matches,https://fbref.com/en/players/ed45c4a5/Valentin-Rongier,https://fbref.com/req/202302030/images/headshots/ed45c4a5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Valentin_Rongier.jpg
479,Nolan Roux,fr FRA,FW,Nîmes,32,1988,19,6,651,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/3071a619/Nolan-Roux,https://fbref.com/req/202302030/images/headshots/3071a619_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nolan_Roux.jpg
480,Daniele Rugani,it ITA,DF,Rennes,26,1994,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/14b8fcdf/Daniele-Rugani,https://fbref.com/req/202302030/images/headshots/14b8fcdf_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Daniele_Rugani.jpg
481,Kays Ruiz,fr FRA,FW,Paris Saint-Germain,17,2002,7,1,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/90a9cc01/Kays-Ruiz,https://fbref.com/req/202302030/images/headshots/90a9cc01_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kays_Ruiz.jpg
482,Georginio Rutter,fr FRA,"FW,MF",Rennes,18,2002,4,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c64c01fc/Georginio-Rutter,https://fbref.com/req/202302030/images/headshots/c64c01fc_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Georginio_Rutter.jpg
483,Roli Pereira de Sa,fr FRA,MF,Nantes,23,1996,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/60f58477/Roli-Pereira-de-Sa,https://fbref.com/req/202302030/images/headshots/60f58477_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Roli_Pereira_de_Sa.jpg
484,Idriss Saadi,dz ALG,FW,Strasbourg,28,1992,7,0,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/17f29fb0/Idriss-Saadi,https://fbref.com/req/202302030/images/headshots/17f29fb0_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Idriss_Saadi.jpg
485,Youssouf Sabaly,sn SEN,DF,Bordeaux,27,1993,33,33,"2,909",32.3,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,Matches,https://fbref.com/en/players/fbbb9269/Youssouf-Sabaly,https://fbref.com/req/202302030/images/headshots/fbbb9269_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Youssouf_Sabaly.jpg
486,Mathys Saban,fr FRA,MF,Saint-Étienne,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7d9f3d69/Mathys-Saban,,
487,Moïse Sahi Dion,ci CIV,FW,Strasbourg,18,2001,6,0,94,1.0,1,0,1,1,0,0,0,0,0.96,0.0,0.96,0.96,0.96,Matches,https://fbref.com/en/players/cdc4458b/Moise-Sahi-Dion,https://fbref.com/req/202302030/images/headshots/cdc4458b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moïse_Sahi_Dion.jpg
488,Hiroki Sakai,jp JPN,DF,Marseille,30,1990,29,26,"2,385",26.5,0,1,1,0,0,0,6,1,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/d63e2912/Hiroki-Sakai,https://fbref.com/req/202302030/images/headshots/d63e2912_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hiroki_Sakai.jpg
489,Moïse Sakava,cm CMR,MF,Reims,19,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/329e7a13/Moise-Sakava,https://fbref.com/req/202302030/images/headshots/329e7a13_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moïse_Sakava.jpg
490,William Saliba,fr FRA,DF,Nice,19,2001,20,20,"1,800",20.0,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,Matches,https://fbref.com/en/players/972aeb2a/William-Saliba,https://fbref.com/req/202302030/images/headshots/972aeb2a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\William_Saliba.jpg
491,Romain Salin,fr FRA,GK,Rennes,36,1984,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/74733221/Romain-Salin,https://fbref.com/req/202302030/images/headshots/74733221_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Salin.jpg
492,Mama Samba Baldé,gw GNB,"FW,MF",Dijon,24,1995,29,24,"2,161",24.0,7,0,7,7,0,0,4,0,0.29,0.0,0.29,0.29,0.29,Matches,https://fbref.com/en/players/fb14aa28/Mama-Samba-Balde,https://fbref.com/req/202302030/images/headshots/fb14aa28_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mama_Samba_Baldé.jpg
493,Junior Sambia,fr FRA,"DF,MF",Montpellier,23,1996,36,26,"2,448",27.2,1,6,7,1,0,0,2,0,0.04,0.22,0.26,0.04,0.26,Matches,https://fbref.com/en/players/24eb7ed6/Junior-Sambia,https://fbref.com/req/202302030/images/headshots/24eb7ed6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Junior_Sambia.jpg
494,Frédéric Sammaritano,fr FRA,"MF,FW",Dijon,34,1986,30,10,"1,130",12.6,0,2,2,0,0,0,4,1,0.0,0.16,0.16,0.0,0.16,Matches,https://fbref.com/en/players/8802c1d5/Frederic-Sammaritano,https://fbref.com/req/202302030/images/headshots/8802c1d5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Frédéric_Sammaritano.jpg
495,Renato Sanches,pt POR,MF,Lille,22,1997,23,14,"1,270",14.1,1,3,4,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28,Matches,https://fbref.com/en/players/032f894e/Renato-Sanches,https://fbref.com/req/202302030/images/headshots/032f894e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Renato_Sanches.jpg
496,Morgan Sanson,fr FRA,MF,Marseille,25,1994,12,10,826,9.2,2,3,5,2,0,0,2,0,0.22,0.33,0.54,0.22,0.54,Matches,https://fbref.com/en/players/6e7f1353/Morgan-Sanson,https://fbref.com/req/202302030/images/headshots/6e7f1353_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Morgan_Sanson.jpg
497,Baptiste Santamaria,fr FRA,MF,Angers,25,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria,https://fbref.com/req/202302030/images/headshots/5e22e2a4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Baptiste_Santamaria.jpg
498,Pablo Sarabia,es ESP,"FW,MF",Paris Saint-Germain,28,1992,27,13,"1,320",14.7,6,4,10,6,0,0,2,0,0.41,0.27,0.68,0.41,0.68,Matches,https://fbref.com/en/players/9744ff80/Pablo-Sarabia,https://fbref.com/req/202302030/images/headshots/9744ff80_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pablo_Sarabia.jpg
499,Bouna Sarr,sn SEN,"DF,MF",Marseille,28,1992,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1a4b9094/Bouna-Sarr,https://fbref.com/req/202302030/images/headshots/1a4b9094_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bouna_Sarr.jpg
500,Sidy Sarr,sn SEN,MF,Nîmes,24,1996,9,6,463,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a0b65401/Sidy-Sarr,https://fbref.com/req/202302030/images/headshots/a0b65401_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sidy_Sarr.jpg
501,Téji Savanier,fr FRA,MF,Montpellier,28,1991,27,26,"2,165",24.1,5,5,10,3,2,4,6,1,0.21,0.21,0.42,0.12,0.33,Matches,https://fbref.com/en/players/6bde367b/Teji-Savanier,https://fbref.com/req/202302030/images/headshots/6bde367b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Téji_Savanier.jpg
502,Aurélien Scheidler,fr FRA,FW,Dijon,22,1998,10,3,342,3.8,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26,Matches,https://fbref.com/en/players/bc9479b9/Aurelien-Scheidler,https://fbref.com/req/202302030/images/headshots/bc9479b9_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Aurélien_Scheidler.jpg
503,Morgan Schneiderlin,fr FRA,MF,Nice,30,1989,28,24,"2,197",24.4,0,1,1,0,0,0,9,1,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/51b41c5c/Morgan-Schneiderlin,https://fbref.com/req/202302030/images/headshots/51b41c5c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Morgan_Schneiderlin.jpg
504,Malik Sellouki,fr FRA,MF,Nice,20,2000,4,0,66,0.7,1,0,1,1,0,0,1,0,1.36,0.0,1.36,1.36,1.36,Matches,https://fbref.com/en/players/c0f706f3/Malik-Sellouki,,
505,Matz Sels,be BEL,GK,Strasbourg,28,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/834b5c4c/Matz-Sels,https://fbref.com/req/202302030/images/headshots/834b5c4c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matz_Sels.jpg
506,Jean Seri,ci CIV,MF,Bordeaux,29,1991,12,9,707,7.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/10efd0e1/Jean-Seri,https://fbref.com/req/202302030/images/headshots/10efd0e1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean_Seri.jpg
507,Mahame Siby,ml MLI,MF,Strasbourg,24,1996,7,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/6d075c67/Mahame-Siby,https://fbref.com/req/202302030/images/headshots/6d075c67_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mahame_Siby.jpg
508,Abdoulaye Sidibé,fr FRA,FW,Saint-Étienne,18,2002,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a13028f6/Abdoulaye-Sidibe,https://fbref.com/req/202302030/images/headshots/a13028f6_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdoulaye_Sidibé.jpg
509,Djibril Sidibé,fr FRA,DF,Monaco,28,1992,30,21,"1,980",22.0,0,2,2,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,Matches,https://fbref.com/en/players/4c5b714f/Djibril-Sidibe,https://fbref.com/req/202302030/images/headshots/4c5b714f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Djibril_Sidibé.jpg
510,Kaj Sierhuis,nl NED,FW,Reims,22,1998,24,6,652,7.2,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,Matches,https://fbref.com/en/players/9c2b1f11/Kaj-Sierhuis,https://fbref.com/req/202302030/images/headshots/9c2b1f11_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Kaj_Sierhuis.jpg
511,Caio Henrique Oliveira Silva,br BRA,"DF,MF",Monaco,23,1997,31,26,"2,368",26.3,0,4,4,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,Matches,https://fbref.com/en/players/30af8b93/Caio-Henrique-Oliveira-Silva,https://fbref.com/req/202302030/images/headshots/30af8b93_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Caio_Henrique_Oliveira_Silva.jpg
512,Florent da Silva,fr FRA,MF,Lyon,17,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8db95f95/Florent-da-Silva,https://fbref.com/req/202302030/images/headshots/8db95f95_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florent_da_Silva.jpg
513,Gabriel Silva,br BRA,DF,Saint-Étienne,29,1991,4,4,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/4914ed4a/Gabriel-Silva,https://fbref.com/req/202302030/images/headshots/4914ed4a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Gabriel_Silva.jpg
514,Mohamed Simakan,fr FRA,"DF,MF",Strasbourg,20,2000,19,19,"1,615",17.9,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches,https://fbref.com/en/players/fcb27134/Mohamed-Simakan,https://fbref.com/req/202302030/images/headshots/fcb27134_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mohamed_Simakan.jpg
515,Moses Simon,ng NGA,"MF,FW",Nantes,25,1995,33,28,"2,324",25.8,6,5,11,5,1,1,2,0,0.23,0.19,0.43,0.19,0.39,Matches,https://fbref.com/en/players/5f3eaaf5/Moses-Simon,https://fbref.com/req/202302030/images/headshots/5f3eaaf5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Moses_Simon.jpg
516,Xavi Simons,nl NED,"FW,MF",Paris Saint-Germain,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/da4d670f/Xavi-Simons,https://fbref.com/req/202302030/images/headshots/da4d670f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Xavi_Simons.jpg
517,Issouf Sissokho,ml MLI,MF,Bordeaux,18,2002,6,0,78,0.9,1,0,1,1,0,0,2,0,1.15,0.0,1.15,1.15,1.15,Matches,https://fbref.com/en/players/792a9d41/Issouf-Sissokho,,
518,Ibrahima Sissoko,ml MLI,MF,Strasbourg,22,1997,36,29,"2,581",28.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,https://fbref.com/req/202302030/images/headshots/0f8418aa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ibrahima_Sissoko.jpg
519,Nelson Sissoko,ml MLI,"DF,MF",Saint-Étienne,23,1997,9,6,474,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/12bd0579/Nelson-Sissoko,https://fbref.com/req/202302030/images/headshots/12bd0579_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nelson_Sissoko.jpg
520,Jacques Siwe,fr FRA,FW,Dijon,19,2001,5,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c39b09e3/Jacques-Siwe,,
521,Petar Škuletić,rs SRB,FW,Montpellier,30,1990,19,1,234,2.6,2,0,2,2,0,0,0,0,0.77,0.0,0.77,0.77,0.77,Matches,https://fbref.com/en/players/d9a66c60/Petar-Skuletic,https://fbref.com/req/202302030/images/headshots/d9a66c60_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Petar_Škuletić.jpg
522,Islam Slimani,dz ALG,FW,Lyon,32,1988,18,4,579,6.4,3,1,4,3,0,0,0,1,0.47,0.16,0.62,0.47,0.62,Matches,https://fbref.com/en/players/ffec9769/Islam-Slimani,https://fbref.com/req/202302030/images/headshots/ffec9769_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Islam_Slimani.jpg
523,Brandon Soppy,fr FRA,DF,Rennes,18,2002,10,5,559,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/28f66c2e/Brandon-Soppy,https://fbref.com/req/202302030/images/headshots/28f66c2e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Brandon_Soppy.jpg
524,Florian Sotoca,fr FRA,FW,Lens,29,1990,33,28,"2,413",26.8,8,3,11,6,2,2,7,0,0.3,0.11,0.41,0.22,0.34,Matches,https://fbref.com/en/players/7a42d0df/Florian-Sotoca,https://fbref.com/req/202302030/images/headshots/7a42d0df_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Florian_Sotoca.jpg
525,Cheick Souaré,fr FRA,MF,Marseille,17,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/39c0c75b/Cheick-Souare,,
