ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
345,Habib Maïga,ci CIV,MF,Metz,24,1996,31,31,"2,693",29.9,1,3,4,1,0,0,9,0,0.03,0.1,0.13,0.03,0.13,Matches,https://fbref.com/en/players/e768de1f/Habib-Maiga,https://fbref.com/req/202302030/images/headshots/e768de1f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Habib_Maïga.jpg
346,Mike Maignan,fr FRA,GK,Lille,25,1995,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/fcb38f57/Mike-Maignan,https://fbref.com/req/202302030/images/headshots/fcb38f57_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mike_Maignan.jpg
347,Josh Maja,ng NGA,FW,Bordeaux,21,1998,17,11,804,8.9,2,0,2,2,0,0,2,0,0.22,0.0,0.22,0.22,0.22,Matches,https://fbref.com/en/players/bc0bfc64/Josh-Maja,https://fbref.com/req/202302030/images/headshots/bc0bfc64_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Josh_Maja.jpg
348,Radosław Majecki,pl POL,GK,Monaco,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/20de219a/Radoslaw-Majecki,https://fbref.com/req/202302030/images/headshots/20de219a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Radosław_Majecki.jpg
349,Abdul Majeed Waris,gh GHA,"MF,FW",Strasbourg,28,1991,15,5,552,6.1,1,0,1,0,1,1,0,0,0.16,0.0,0.16,0.0,0.0,Matches,https://fbref.com/en/players/46907171/Abdul-Majeed-Waris,https://fbref.com/req/202302030/images/headshots/46907171_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdul_Majeed_Waris.jpg
350,Marco Majouga,cf CTA,FW,Nîmes,19,2001,8,0,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a27ecdc2/Marco-Majouga,,
351,Vincent Manceau,fr FRA,DF,Angers,31,1989,27,25,"2,309",25.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c26a3918/Vincent-Manceau,https://fbref.com/req/202302030/images/headshots/c26a3918_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Vincent_Manceau.jpg
352,Steve Mandanda,fr FRA,GK,Marseille,35,1985,37,37,"3,330",37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,https://fbref.com/req/202302030/images/headshots/1d2d5cc8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Steve_Mandanda.jpg
353,Reinildo Mandava,mz MOZ,DF,Lille,26,1994,29,24,"2,180",24.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,https://fbref.com/req/202302030/images/headshots/c20bdcd7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Reinildo_Mandava.jpg
354,Thomas Mangani,fr FRA,MF,Angers,33,1987,35,32,"2,691",29.9,3,3,6,0,3,3,3,0,0.1,0.1,0.2,0.0,0.1,Matches,https://fbref.com/en/players/c801616a/Thomas-Mangani,https://fbref.com/req/202302030/images/headshots/c801616a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thomas_Mangani.jpg
355,Vito Mannone,it ITA,GK,Monaco,32,1988,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c4173f1a/Vito-Mannone,https://fbref.com/req/202302030/images/headshots/c4173f1a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Vito_Mannone.jpg
356,Myziane Maolida,km COM,"FW,MF",Nice,21,1999,19,11,"1,077",12.0,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,https://fbref.com/en/players/706a60e1/Myziane-Maolida,https://fbref.com/req/202302030/images/headshots/706a60e1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Myziane_Maolida.jpg
357,Faitout Maouassa,fr FRA,DF,Rennes,22,1998,23,13,"1,170",13.0,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches,https://fbref.com/en/players/e54a9890/Faitout-Maouassa,https://fbref.com/req/202302030/images/headshots/e54a9890_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Faitout_Maouassa.jpg
