Player,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Position
Brenden Aaronson,25.44,30,24,1975,21.9,4,3,7,4,0,0,1,0,0.18,0.14,0.32,0.18,0.32,Milieu
Zach Abbott,19.88,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Tammy Abraham,28.49,8,1,202,2.2,1,0,1,1,0,0,0,0,0.45,0.0,0.45,0.45,0.45,Attaquant
Joshua Acheampong,19.9,12,7,573,6.4,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Defenseur
Tyler Adams,27.12,18,18,1411,15.7,2,1,3,2,0,0,7,0,0.13,0.06,0.19,0.13,0.19,Milieu
Tosin Adarabioyo,28.51,15,7,750,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Simon Adingra,24.24,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,Milieu
Amine Adli,25.89,27,10,1040,11.6,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,Milieu
Emmanuel Agbadou,28.78,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Defenseur
Nayef Aguerd,30.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Ola Aina,29.47,15,15,1320,14.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Rayan Aït-Nouri,24.81,13,10,779,8.7,0,2,2,0,0,0,2,0,0.0,0.23,0.23,0.0,0.23,Defenseur
Kristoffer Ajer,27.95,24,18,1628,18.1,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,Defenseur
Nathan Aké,31.11,14,4,495,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Carlos Alcaraz,23.33,16,6,675,7.5,0,1,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,Milieu
Omar Alderete,29.26,27,26,2354,26.2,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Defenseur
Alisson,33.49,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Max Alleyne,20.69,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Jaydon Amauri Banel,21.44,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Ethan Ampadu,25.54,28,28,2489,27.7,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Milieu
Joachim Andersen,29.83,28,28,2471,27.5,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,Defenseur
Elliot Anderson,23.39,31,31,2772,30.8,2,2,4,1,1,1,6,0,0.06,0.06,0.13,0.03,0.1,Milieu
André,24.7,28,23,2132,23.7,1,0,1,1,0,0,9,0,0.04,0.0,0.04,0.04,0.04,Milieu
Nilson Angulo,22.78,5,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Jaidon Anthony,26.33,30,25,2114,23.5,7,1,8,7,0,0,4,0,0.3,0.04,0.34,0.3,0.34,Milieu
Alphonse Areola,33.08,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,Gardien
Jhon Arias,28.52,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,Attaquant
Adam Armstrong,29.13,7,7,566,6.3,1,2,3,1,0,0,3,0,0.16,0.32,0.48,0.16,0.48,Attaquant
Harrison Armstrong,19.19,11,6,499,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Tolu Arokodare,25.35,27,12,1244,13.8,3,1,4,3,0,1,1,0,0.22,0.07,0.29,0.22,0.29,Attaquant
Taiwo Awoniyi,28.63,12,1,278,3.1,2,0,2,2,0,0,1,0,0.65,0.0,0.65,0.65,0.65,Attaquant
Yasin Ayari,22.48,24,18,1726,19.2,3,2,5,3,0,0,1,0,0.16,0.1,0.26,0.16,0.26,Milieu
Benoît Badiashile,25.01,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Leon Bailey,28.64,9,2,340,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,Milieu
Dilane Bakwa,23.59,10,3,345,3.8,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,Milieu
Carlos Baleba,22.24,25,19,1279,14.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Milieu
Daniel Ballard,26.52,26,22,2008,22.3,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,Defenseur
Ross Barkley,32.31,14,2,402,4.5,2,0,2,2,0,0,0,0,0.45,0.0,0.45,0.45,0.45,Milieu
Ashley Barnes,36.41,6,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Harvey Barnes,28.3,30,17,1659,18.4,5,0,5,5,0,0,1,0,0.27,0.0,0.27,0.27,0.27,Attaquant
Thierno Barry,23.44,31,19,1640,18.2,6,0,6,6,0,0,3,0,0.33,0.0,0.33,0.33,0.33,Attaquant
Calvin Bassey,26.24,23,21,1904,21.2,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,Defenseur
Altay Bayındır,27.96,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Jean-Ricner Bellegarde,27.76,22,13,1086,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,Milieu
Walter Benítez,33.19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Gardien
Rodrigo Bentancur,28.76,20,17,1410,15.7,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Milieu
Sander Berge,28.12,31,30,2590,28.8,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,Milieu
Lucas Bergvall,20.15,18,10,850,9.4,1,2,3,1,0,0,2,0,0.11,0.21,0.32,0.11,0.32,Milieu
Beto,28.16,31,12,1212,13.5,6,1,7,6,0,0,2,0,0.45,0.07,0.52,0.45,0.52,Attaquant
Jaka Bijol,27.15,18,14,1308,14.5,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Defenseur
Yves Bissouma,29.58,8,5,462,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Milieu
Marco Bizot,35.05,5,4,405,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Oscar Bobb,22.71,9,5,468,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,Milieu
Oscar Bobb,22.71,7,3,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Lamare Bogarde,22.23,24,8,807,9.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Milieu
Jayden Bogle,25.67,29,27,2402,26.7,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Defenseur
Sebastiaan Bornauw,27.02,9,4,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Olivier Boscagli,28.36,8,5,442,4.9,0,1,1,0,0,0,2,0,0.0,0.2,0.2,0.0,0.2,Defenseur
Sven Botman,26.21,18,14,1205,13.4,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,Defenseur
Jarrod Bowen,29.27,31,31,2777,30.9,8,6,14,7,1,1,4,0,0.26,0.19,0.45,0.23,0.42,Milieu
Conor Bradley,22.72,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,Defenseur
Jarrad Branthwaite,23.76,8,5,504,5.6,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18,Defenseur
Brian Brobbey,24.16,24,15,1368,15.2,6,1,7,6,0,0,4,0,0.39,0.07,0.46,0.39,0.46,Attaquant
Armando Broja,24.55,20,8,819,9.1,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Attaquant
David Brooks,28.73,25,12,1051,11.7,1,2,3,1,0,0,7,0,0.09,0.17,0.26,0.09,0.26,Milieu
Jacob Bruun Larsen,27.53,23,10,972,10.8,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,Milieu
Emi Buendía,29.26,29,18,1451,16.1,5,2,7,5,0,0,6,0,0.31,0.12,0.43,0.31,0.43,Milieu
Hugo Bueno,23.53,28,21,1952,21.7,1,1,2,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09,Milieu
Santiago Bueno,27.39,22,21,1923,21.4,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Defenseur
Facundo Buonanotte,21.27,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Facundo Buonanotte,21.27,2,0,26,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
Dan Burn,33.89,23,21,1813,20.1,0,2,2,0,0,0,9,1,0.0,0.1,0.1,0.0,0.1,Defenseur
Bradley Burrowes,18.07,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Jun'ai Byfield,17.31,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Sam Byram,32.53,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Moisés Caicedo,24.41,26,25,2181,24.2,3,1,4,3,0,0,9,1,0.12,0.04,0.17,0.12,0.17,Milieu
Tom Cairney,35.19,20,4,562,6.2,1,0,1,1,0,0,3,0,0.16,0.0,0.16,0.16,0.16,Milieu
Riccardo Calafiori,23.86,22,18,1448,16.1,1,2,3,1,0,0,5,0,0.06,0.12,0.19,0.06,0.19,Defenseur
Dominic Calvert-Lewin,29.04,28,23,2115,23.5,10,1,11,8,2,3,1,0,0.43,0.04,0.47,0.34,0.38,Attaquant
Jaydee Canvot,19.67,13,7,706,7.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Fabio Carvalho,23.58,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88,Milieu
Casemiro,34.1,29,28,2131,23.7,7,2,9,7,0,0,10,1,0.3,0.08,0.38,0.3,0.38,Milieu
Matty Cash,28.64,28,28,2441,27.1,3,2,5,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,Defenseur
Timothy Castagne,30.31,23,13,1223,13.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Valentín Castellanos,27.49,11,11,860,9.6,2,0,2,2,0,0,2,0,0.21,0.0,0.21,0.21,0.21,Attaquant
Trevoh Chalobah,26.73,29,29,2550,28.3,3,0,3,3,0,0,3,1,0.11,0.0,0.11,0.11,0.11,Defenseur
Rayan Cherki,22.62,25,14,1308,14.5,3,8,11,3,0,0,1,0,0.21,0.55,0.76,0.21,0.76,Milieu
Federico Chiesa,28.43,23,1,296,3.3,2,1,3,2,0,0,3,0,0.61,0.3,0.91,0.61,0.91,Milieu
Tawanda Chirewa,22.46,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Ryan Christie,31.1,21,5,727,8.1,2,0,2,2,0,0,2,0,0.25,0.0,0.25,0.25,0.25,Milieu
Samuel Chukwueze,26.85,17,7,809,9.0,3,4,7,3,0,0,0,0,0.33,0.44,0.78,0.33,0.78,Milieu
Dennis Cirkin,23.98,7,3,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Nathaniel Clyne,34.98,8,6,495,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,Milieu
Séamus Coleman,37.47,3,1,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Nathan Collins,24.91,28,25,2345,26.1,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Defenseur
Lewis Cook,29.15,16,8,872,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,Milieu
Diego Coppola,22.25,5,2,194,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Marc Cucurella,27.69,27,24,2077,23.1,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Defenseur
Jorge Cuenca,26.36,14,11,933,10.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Josh Cullen,29.98,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Milieu
Jair Cunha,21.06,3,2,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Matheus Cunha,26.84,28,24,2069,23.0,7,2,9,7,0,0,1,0,0.3,0.09,0.39,0.3,0.39,Milieu
Diogo Dalot,27.03,29,25,2233,24.8,1,3,4,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,Milieu
Mikkel Damsgaard,25.74,26,18,1575,17.5,3,4,7,3,0,0,0,0,0.17,0.23,0.4,0.17,0.4,Milieu
Kevin Danso,27.53,17,11,933,10.4,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Karl Darlow,35.47,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Ben Davies,32.93,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,0.0,0.66,0.66,0.66,Defenseur
Maxim De Cuyper,25.27,24,14,1152,12.8,2,0,2,2,0,0,2,0,0.16,0.0,0.16,0.16,0.16,Defenseur
Liam Delap,23.14,22,9,796,8.8,1,0,1,1,0,0,2,0,0.11,0.0,0.11,0.11,0.11,Attaquant
Sepp van den Berg,24.27,26,25,2304,25.6,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,Defenseur
Justin Devenny,22.47,18,5,603,6.7,1,0,1,0,1,1,0,0,0.15,0.0,0.15,0.0,0.0,Milieu
Kiernan Dewsbury-Hall,27.56,24,23,2005,22.3,6,3,9,6,0,0,6,0,0.27,0.13,0.4,0.27,0.4,Milieu
Bafodé Diakité,25.23,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Amad Diallo,23.72,25,22,1917,21.3,2,2,4,2,0,0,2,0,0.09,0.09,0.19,0.09,0.19,Milieu
Habib Diarra,22.24,14,12,1098,12.2,2,0,2,1,1,1,4,0,0.16,0.0,0.16,0.08,0.08,Milieu
Rúben Dias,28.88,25,23,2051,22.8,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,Defenseur
Tyler Dibling,20.05,14,4,358,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Milieu
Lucas Digne,32.69,26,18,1557,17.3,0,4,4,0,0,0,3,0,0.0,0.23,0.23,0.0,0.23,Defenseur
Issa Diop,29.22,10,6,596,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Defenseur
El Hadji Malick Diouf,21.25,25,23,2094,23.3,0,5,5,0,0,0,4,0,0.0,0.21,0.21,0.0,0.21,Defenseur
Axel Disasi,28.05,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Matt Doherty,34.2,10,10,702,7.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Jeremy Doku,23.84,22,13,1231,13.7,1,4,5,1,0,0,0,0,0.07,0.29,0.37,0.07,0.37,Milieu
Nicolás Domínguez,27.75,20,14,935,10.4,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,Milieu
Gianluigi Donnarumma,27.09,27,27,2430,27.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,Gardien
Romelle Donovan,19.33,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Patrick Dorgu,21.42,22,14,1335,14.8,3,3,6,3,0,0,5,0,0.2,0.2,0.4,0.2,0.4,Milieu
Max Dowman,16.24,3,0,46,0.5,1,0,1,1,0,0,0,0,1.96,0.0,1.96,1.96,1.96,Milieu
Radu Drăgușin,24.15,8,5,515,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Joél Drakes-Thomas,16.8,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Martin Dúbravka,37.2,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Gardien
Lewis Dunk,34.35,29,28,2565,28.5,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,Defenseur
George Earthy,21.56,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Odsonne Édouard,28.2,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Tom Edozie,19.87,1,0,7,0.1,1,0,1,1,0,0,0,0,12.86,0.0,12.86,12.86,12.86,Milieu
Alysson Edward,19.9,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Marcus Edwards,27.32,19,9,910,10.1,1,3,4,1,0,0,0,0,0.1,0.3,0.4,0.1,0.4,Milieu
