Player,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Position
Fabian Schär,34.27,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Alex Scott,22.61,31,28,2310,25.7,2,1,3,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,Milieu
Jenson Seelt,22.85,2,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Matz Sels,34.09,24,23,2038,22.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Gardien
Antoine Semenyo,26.22,9,9,789,8.8,5,1,6,5,0,0,0,0,0.57,0.11,0.68,0.57,0.68,Milieu
Antoine Semenyo,26.22,20,20,1798,20.0,10,3,13,9,1,2,6,0,0.5,0.15,0.65,0.45,0.6,Milieu
Marcos Senesi,28.89,30,30,2658,29.5,0,4,4,0,0,0,8,0,0.0,0.14,0.14,0.0,0.14,Defenseur
Benjamin Šeško,22.83,26,13,1342,14.9,9,1,10,9,0,0,2,0,0.6,0.07,0.67,0.6,0.67,Attaquant
Ryan Sessegnon,25.87,24,18,1641,18.2,2,1,3,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Defenseur
Luke Shaw,30.71,31,31,2615,29.1,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,Defenseur
Bernardo Silva,31.64,30,26,2245,24.9,2,4,6,2,0,0,9,0,0.08,0.16,0.24,0.08,0.24,Milieu
Jota Silva,26.66,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Attaquant
Xavi Simons,22.94,25,17,1597,17.7,1,4,5,1,0,0,4,1,0.06,0.23,0.28,0.06,0.28,Milieu
Adam Smith,34.92,18,11,808,9.0,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,Defenseur
Emile Smith Rowe,25.67,30,16,1466,16.3,3,0,3,3,0,0,1,0,0.18,0.0,0.18,0.18,0.18,Milieu
Dominic Solanke,28.54,12,8,782,8.7,3,0,3,3,0,0,1,0,0.35,0.0,0.35,0.35,0.35,Attaquant
Julio Soler,21.11,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Oliver Sonne,25.38,7,1,169,1.9,1,0,1,1,0,0,0,0,0.53,0.0,0.53,0.53,0.53,Defenseur
Borna Sosa,28.19,5,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Tomáš Souček,31.08,28,17,1598,17.8,4,0,4,4,0,0,2,1,0.23,0.0,0.23,0.23,0.23,Milieu
Souza,19.79,4,2,144,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Milieu
Djed Spence,25.64,24,21,1808,20.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Anton Stach,27.37,26,25,2136,23.7,4,3,7,4,0,0,3,0,0.17,0.13,0.29,0.17,0.29,Milieu
John Stones,31.84,7,4,353,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Defenseur
Jørgen Strand Larsen,26.14,22,14,1404,15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0.0,0.06,Attaquant
Jørgen Strand Larsen,26.14,6,6,466,5.2,3,0,3,3,0,0,2,0,0.58,0.0,0.58,0.58,0.58,Attaquant
Pascal Struijk,26.63,28,27,2431,27.0,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,Defenseur
Crysencio Summerville,24.41,24,22,1856,20.6,5,1,6,5,0,0,4,0,0.24,0.05,0.29,0.24,0.29,Milieu
Dominik Szoboszlai,25.43,29,29,2601,28.9,5,3,8,5,0,1,7,1,0.17,0.1,0.28,0.17,0.28,Milieu
Jocelin Ta Bi,21.13,1,1,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Milieu
Chemsdine Talbi,20.89,23,14,1325,14.7,4,1,5,4,0,0,0,0,0.27,0.07,0.34,0.27,0.34,Milieu
Ao Tanaka,27.55,21,7,769,8.5,2,0,2,2,0,0,1,0,0.23,0.0,0.23,0.23,0.23,Milieu
James Tarkowski,33.36,30,30,2700,30.0,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Defenseur
Marcus Tavernier,27.02,27,24,2122,23.6,5,4,9,3,2,2,4,0,0.21,0.17,0.38,0.13,0.3,Milieu
Loum Tchaouna,22.56,23,9,858,9.5,1,0,1,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,Milieu
Jackson Tchatchoua,24.54,28,17,1705,18.9,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,Milieu
Mathys Tel,20.92,24,9,906,10.1,3,0,3,3,0,0,0,0,0.3,0.0,0.3,0.3,0.3,Milieu
Kenny Tete,30.47,22,21,1791,19.9,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,Defenseur
Igor Thiago,24.76,31,30,2652,29.5,19,1,20,13,6,7,6,0,0.64,0.03,0.68,0.44,0.48,Attaquant
Malick Thiaw,24.64,28,26,2335,25.9,4,0,4,4,0,0,3,0,0.15,0.0,0.15,0.15,0.15,Defenseur
Youri Tielemans,28.9,18,15,1322,14.7,0,4,4,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,Milieu
